"","CD_GEOCODU","Estado","N_mulheres","regiao","Total_deputados_eleitos","fracao","porcentagem_eleitas"
"1",11,"Rondônia",3,"Norte",8,0.375,38
"2",12,"Acre",4,"Norte",8,0.5,50
"3",13,"Amazonas",0,"Norte",8,0,0
"4",14,"Roraima",2,"Norte",8,0.25,25
"5",15,"Pará",1,"Norte",17,0.0588235294117647,6
"6",16,"Amapá",3,"Norte",8,0.375,38
"7",17,"Tocantins",2,"Norte",8,0.25,25
"8",21,"Maranhão",0,"Nordeste",18,0,0
"9",22,"Piauí",4,"Nordeste",10,0.4,40
"10",23,"Ceará",1,"Nordeste",22,0.0454545454545455,5
"11",24,"Rio Grande do Norte",1,"Nordeste",8,0.125,13
"12",25,"Paraíba",1,"Nordeste",12,0.0833333333333333,8
"13",26,"Pernambuco",1,"Nordeste",25,0.04,4
"14",27,"Alagoas",1,"Nordeste",9,0.111111111111111,11
"15",28,"Sergipe",0,"Nordeste",8,0,0
"16",29,"Bahia",3,"Nordeste",39,0.0769230769230769,8
"17",31,"Minas Gerais",4,"Sudeste",53,0.0754716981132075,8
"18",32,"Espírito Santo",3,"Sudeste",10,0.3,30
"19",33,"Rio de Janeiro",10,"Sudeste",46,0.217391304347826,22
"20",35,"São Paulo",11,"Sudeste",70,0.157142857142857,16
"21",41,"Paraná",5,"Sul",30,0.166666666666667,17
"22",42,"Santa Catarina",4,"Sul",16,0.25,25
"23",43,"Rio Grande do Sul",3,"Sul",31,0.0967741935483871,10
"24",50,"Mato Grosso do Sul",2,"Centro-Oeste",8,0.25,25
"25",51,"Mato Grosso",1,"Centro-Oeste",8,0.125,13
"26",52,"Goiás",2,"Centro-Oeste",17,0.117647058823529,12
"27",53,"Distrito Federal",5,"Centro-Oeste",8,0.625,63
